Date,Value,Anomaly
189501,29.5,-2.6
189601,29.0,-3.1
189701,29.9,-2.2
189801,34.4,2.3
189901,30.4,-1.7
190001,31.7,-0.4
190101,32.1,0.0
190201,30.0,-2.1
190301,30.0,-2.1
190401,24.2,-7.9
190501,27.6,-4.5
190601,36.7,4.6
190701,33.1,1.0
190801,31.3,-0.8
190901,33.3,1.2
191001,30.4,-1.7
191101,35.1,3.0
191201,23.4,-8.7
191301,40.5,8.4
191401,31.2,-0.9
191501,34.2,2.1
191601,35.7,3.6
191701,32.6,0.5
191801,21.4,-10.7
191901,35.3,3.2
192001,23.8,-8.3
192101,33.7,1.6
192201,28.5,-3.6
192301,29.9,-2.2
192401,32.6,0.5
192501,28.4,-3.7
192601,31.9,-0.2
192701,30.9,-1.2
192801,33.9,1.8
192901,31.9,-0.2
193001,33.3,1.2
193101,32.7,0.6
193201,43.1,11.0
193301,40.3,8.2
193401,34.4,2.3
193501,28.8,-3.3
193601,29.3,-2.8
193701,40.2,8.1
193801,32.1,0.0
193901,32.1,0.0
194001,24.9,-7.2
194101,29.4,-2.7
194201,30.7,-1.4
194301,30.7,-1.4
194401,33.9,1.8
194501,25.2,-6.9
194601,34.1,2.0
194701,37.1,5.0
194801,25.1,-7.0
194901,38.3,6.2
195001,41.4,9.3
195101,36.1,4.0
195201,35.9,3.8
195301,37.4,5.3
195401,30.5,-1.6
195501,30.6,-1.5
195601,31.7,-0.4
195701,28.3,-3.8
195801,31.6,-0.5
195901,31.0,-1.1
196001,33.6,1.5
196101,27.1,-5.0
196201,32.0,-0.1
196301,29.5,-2.6
196401,35.0,2.9
196501,29.0,-3.1
196601,31.5,-0.6
196701,36.6,4.5
196801,26.0,-6.1
196901,31.1,-1.0
197001,24.4,-7.7
197101,26.2,-5.9
197201,34.3,2.2
197301,35.2,3.1
197401,35.2,3.1
197501,37.3,5.2
197601,27.4,-4.7
197701,21.8,-10.3
197801,27.9,-4.2
197901,31.5,-0.6
198001,32.7,0.6
198101,25.2,-6.9
198201,25.1,-7.0
198301,33.5,1.4
198401,28.9,-3.2
198501,27.8,-4.3
198601,33.5,1.4
198701,31.7,-0.4
198801,28.9,-3.2
198901,36.8,4.7
199001,40.7,8.6
199101,34.3,2.2
199201,35.1,3.0
199301,35.7,3.6
199401,24.9,-7.2
199501,37.6,5.5
199601,30.9,-1.2
199701,32.5,0.4
199801,40.4,8.3
199901,34.3,2.2
200001,31.7,-0.4
200101,34.0,1.9
200201,40.3,8.2
200301,27.9,-4.2
200401,25.1,-7.0
200501,31.7,-0.4
200601,41.3,9.2
200701,37.9,5.8
200801,36.9,4.8
200901,28.3,-3.8
201001,32.9,0.8
201101,30.1,-2.0
201201,37.7,5.6
201301,35.5,3.4
201401,28.7,-3.4
201501,30.0,-2.1
201601,34.5,2.4
201701,38.1,6.0
201801,31.8,-0.3
